game_id,home_team,away_team,home_avg_pts,away_avg_pts,home_avg_reb,away_avg_reb,home_win
0022300115,Detroit Pistons,Portland Trail Blazers,110.75,101.25,50.75,45.0,0
0022300116,Milwaukee Bucks,Toronto Raptors,116.66666666666667,99.5,41.666666666666664,47.0,0
0022300117,Atlanta Hawks,Washington Wizards,121.0,113.33333333333333,42.0,43.333333333333336,1
0022300118,Boston Celtics,Indiana Pacers,117.66666666666667,124.33333333333333,50.666666666666664,48.666666666666664,1
0022300119,Brooklyn Nets,Miami Heat,122.0,104.5,47.666666666666664,43.75,1
0022300120,Cleveland Cavaliers,New York Knicks,105.75,106.5,45.75,49.75,1
0022300121,New Orleans Pelicans,Oklahoma City Thunder,103.0,112.75,44.666666666666664,40.75,1
0022300122,Charlotte Hornets,Houston Rockets,112.0,101.0,43.666666666666664,38.666666666666664,0
0022300123,Denver Nuggets,Minnesota Timberwolves,116.25,104.33333333333333,43.25,49.0,0
0022300124,Chicago Bulls,Dallas Mavericks,105.5,125.33333333333333,42.75,45.333333333333336,0
0022300125,Memphis Grizzlies,Utah Jazz,106.0,110.0,43.5,48.75,0
0022300126,Golden State Warriors,Sacramento Kings,115.5,125.33333333333333,50.25,44.333333333333336,1
0022300127,LA Clippers,Los Angeles Lakers,120.5,110.0,43.25,44.75,0
0022300128,Philadelphia 76ers,Toronto Raptors,119.0,105.6,44.0,47.6,1
0022300129,Detroit Pistons,New Orleans Pelicans,108.8,104.75,48.2,48.0,0
0022300130,Orlando Magic,Utah Jazz,105.75,114.6,46.5,49.0,1
0022300131,Phoenix Suns,San Antonio Spurs,110.75,110.75,47.75,40.5,0
0022300132,Philadelphia 76ers,Phoenix Suns,117.75,112.8,44.5,45.0,1
0022300133,Charlotte Hornets,Indiana Pacers,113.75,119.6,43.75,43.4,1
0022300134,Los Angeles Lakers,Orlando Magic,114.0,107.6,46.0,45.8,0
0022300135,Atlanta Hawks,New Orleans Pelicans,122.8,108.8,45.0,45.6,1
0022300136,Boston Celtics,Brooklyn Nets,127.0,116.8,52.25,45.8,1
0022300137,Houston Rockets,Sacramento Kings,107.75,119.25,38.5,45.25,1
